method,protein,n,mean,median,frac_reaching_max
single_step_DE,TrpB,234792,0.6307657996135031,0.6725398247189857,0.06995979420082456
SSM_recomb_DE,TrpB,9783,0.5313464902942596,0.5588246873840206,0.018910354696923235
SSM_top96,TrpB,9783,0.7117587545381886,0.7402069641615588,0.14678523970152305
