future,policy,budget,selector,v_oracle,v_robust_worst,v_selected,regret,NR,NR_lo,NR_hi,spearman,v_selected_noisefree,n_boot_used,best_selector_in_cell
AZT@0.44,greedy_ssm,24,n_better_neighbors,1.3034,0.4384,0.9991,0.3042,0.3517,0.1657,1.0389,0.0314,1.0566,2000,
AZT@0.44,greedy_ssm,24,local_ruggedness,1.3034,0.4384,0.9991,0.3042,0.3517,0.1704,1.0604,0.0594,1.0566,2000,
AZT@0.44,greedy_ssm,24,proxy_eov_today,1.3034,0.4384,1.0698,0.2335,0.27,0.1819,0.2793,0.4058,1.0622,2000,
AZT@0.44,greedy_ssm,24,oracle,1.3034,0.4384,1.3034,0.0,0.0,0.0,0.0,1.0,1.2266,2000,
AZT@0.44,greedy_ssm,96,random,1.312,0.7132,1.0555,0.2565,0.4283,0.3953,0.4484,,1.0217,2000,
AZT@0.44,greedy_ssm,96,current_fitness,1.312,0.7132,1.1716,0.1404,0.2344,0.2001,0.34,0.2382,1.157,2000,
AZT@0.44,greedy_ssm,96,known_family_mean,1.312,0.7132,1.1398,0.1722,0.2876,0.2041,0.3599,0.3776,1.1469,2000,
AZT@0.44,greedy_ssm,96,known_family_worst,1.312,0.7132,1.1398,0.1722,0.2876,0.1117,0.3161,0.2819,1.1469,2000,
AZT@0.44,greedy_ssm,96,local_robustness,1.312,0.7132,1.1617,0.1503,0.251,0.212,0.3525,0.4078,1.1022,2000,
AZT@0.44,greedy_ssm,96,neighbor_informative_frac,1.312,0.7132,1.0854,0.2266,0.3784,0.1334,1.1356,0.2185,1.0696,2000,
AZT@0.44,greedy_ssm,96,dist_to_best,1.312,0.7132,1.0854,0.2266,0.3784,0.2293,0.399,0.257,1.0622,2000,
AZT@0.44,greedy_ssm,96,n_better_neighbors,1.312,0.7132,1.117,0.195,0.3257,0.2155,1.3255,0.0299,1.0661,2000,
AZT@0.44,greedy_ssm,96,local_ruggedness,1.312,0.7132,1.117,0.195,0.3257,0.2172,1.3417,0.0534,1.0661,2000,
AZT@0.44,greedy_ssm,96,proxy_eov_today,1.312,0.7132,1.0854,0.2266,0.3784,0.1705,0.399,0.385,1.0622,2000,
AZT@0.44,greedy_ssm,96,oracle,1.312,0.7132,1.312,0.0,0.0,0.0,0.0,1.0,1.2266,2000,
AZT@0.44,greedy_ssm,384,random,1.312,0.7353,1.0713,0.2407,0.4173,0.3839,0.4392,,1.0321,2000,
AZT@0.44,greedy_ssm,384,current_fitness,1.312,0.7353,1.1786,0.1334,0.2313,0.1976,0.346,0.2287,1.157,2000,
AZT@0.44,greedy_ssm,384,known_family_mean,1.312,0.7353,1.1398,0.1722,0.2986,0.1978,0.3364,0.3414,1.1469,2000,
AZT@0.44,greedy_ssm,384,known_family_worst,1.312,0.7353,1.1398,0.1722,0.2986,0.1166,0.3246,0.2602,1.1469,2000,
AZT@0.44,greedy_ssm,384,local_robustness,1.312,0.7353,1.1617,0.1503,0.2606,0.2212,0.3755,0.3855,1.1022,2000,
AZT@0.44,greedy_ssm,384,neighbor_informative_frac,1.312,0.7353,1.0854,0.2266,0.3929,0.1236,1.1712,0.1701,1.0696,2000,
AZT@0.44,greedy_ssm,384,dist_to_best,1.312,0.7353,1.0854,0.2266,0.3929,0.1368,0.4109,0.2261,1.0622,2000,
AZT@0.44,greedy_ssm,384,n_better_neighbors,1.312,0.7353,1.117,0.195,0.3382,0.2162,1.3486,0.039,1.0661,2000,
AZT@0.44,greedy_ssm,384,local_ruggedness,1.312,0.7353,1.117,0.195,0.3382,0.2204,1.3305,0.0545,1.0661,2000,
AZT@0.44,greedy_ssm,384,proxy_eov_today,1.312,0.7353,1.0854,0.2266,0.3929,0.1973,1.1452,0.3299,1.0622,2000,
AZT@0.44,greedy_ssm,384,oracle,1.312,0.7353,1.312,0.0,0.0,0.0,0.0,1.0,1.2617,2000,
AZT@0.44,mlde_ridge,24,random,1.2782,0.9416,1.0838,0.1944,0.5775,0.5183,0.6133,,1.0648,2000,
AZT@0.44,mlde_ridge,24,current_fitness,1.2782,0.9416,1.1397,0.1385,0.4116,0.3526,0.5691,0.1032,1.157,2000,
AZT@0.44,mlde_ridge,24,known_family_mean,1.2782,0.9416,1.1309,0.1473,0.4377,0.3635,0.5664,0.105,1.0535,2000,
AZT@0.44,mlde_ridge,24,known_family_worst,1.2782,0.9416,1.1309,0.1473,0.4377,0.249,0.5195,0.0941,1.0535,2000,
AZT@0.44,mlde_ridge,24,local_robustness,1.2782,0.9416,1.0788,0.1994,0.5924,0.4054,0.64,0.0887,1.1121,2000,
AZT@0.44,mlde_ridge,24,neighbor_informative_frac,1.2782,0.9416,1.1497,0.1285,0.3818,0.2468,1.1432,0.0595,0.9997,2000,
